question_id,class,subject,chapter,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,ncert_reference
ENG_C7_758,7,English,Three Questions,Theme,Medium,MCQ, Hermit says important person is:,a) King,b) Family,c) The person you are with,d) Hermit,c,Value of present interaction,Honeycomb Unit 1
ENG_C7_740,7,English,Three Questions,Ethics,Medium,MCQ, hermit says most important time is:,a) Tomorrow,b) Now,c) Yesterday,d) Noon,b,Only the present allows for action,Honeycomb Unit 1
ENG_C7_763,7,English,Three Questions,Theme,Medium,MCQ, hermits says important person is:,a) Ruler,b) Wise man,c) Person you are with,d) Warrior,c,Ethics of present relationship,Honeycomb Unit 1
MATH_C7_529,7,Mathematics,A Peek Beyond the Point,Measurement,Easy,MCQ,1 meter has how many mm?,a) 100,b) 10,c) 1000,d) 1,c,Standard metric conversion,Ganita Prakash Ch 3
MATH_C7_530,7,Mathematics,Large Numbers Around Us,Place Value,Easy,MCQ,100 lakhs equal to:,a) 1 crore,b) 1 million,c) 10 crores,d) 1000,a,Standard Indian numbering system,Ganita Prakash Ch 1
MATH_C7_539,7,Mathematics,Working with Fractions,Simplification,Medium,MCQ,24/56 simplified is:,a) 12/28,b) 3/7,c) 6/14,d) 4/8,b,Divide by HCF 8,Ganita Prakash Ch 8
MATH_C7_739,7,Mathematics,Working with Fractions,Simplification,Medium,MCQ,24/56 simplified to lowest form is:,a) 12/28,b) 3/7,c) 6/14,d) 4/8,b,Divide by highest common factor 8,Ganita Prakash Ch 8
MATH_C7_402,7,Mathematics,Geometric Twins,Pythagoras Property,Hard,MCQ,A 15 m long ladder reaches a window 12 m high from the ground. How far is the foot of the ladder from the wall?,a) 3 m,b) 9 m,c) 27 m,d) 81 m,b,Using $a^2 + b^2 = c^2$: $b^2 = 15^2 - 12^2 = 225 - 144 = 81$. $\sqrt{81} = 9 m$.,NCERT Ch 6
MATH_C7_555,7,Mathematics,Connecting the Dots,Probability,Hard,MCQ,A bag has 5 red and 5 blue balls; what is the probability of picking a red ball?,a) 1,b) 0.5,c) 0.2,d) 0.1,b,Probability is favorable outcomes (5) divided by total outcomes (10) which equals 1/2 or 0.5,NCERT Ch 3
SST_C7_553,7,Social Science,Understanding the Weather,Instruments,Easy,MCQ,A Barometer is specifically used to measure:,a) Wind speed,b) Air pressure,c) Humidity,d) Temperature,b,Atmospheric pressure is measured by a barometer to help predict weather changes,Exploring Society Ch 2
SCI_C7_754,7,Science,Measurement of Time and Motion,Physics,Hard,MCQ,A car at 15 m/s travels how far in 1 min?,a) 15 m,b) 90 m,c) 900 m,d) 150 m,c,Product of speed and 60 seconds,Curiosity Ch 8
SCI_C7_704,7,Science,Measurement of Time and Motion,Physics,Hard,MCQ,A car covers 100 km in 2 hours. What is its speed in m/s?,a) 50 m/s,b) 13.88 m/s,c) 25 m/s,d) 10 m/s,b,Speed is $50 km/h$; and converting to $m/s$ ($50 \times 5/18$) equals 13.88,Curiosity Ch 8
